epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.99933505,0.02230709808164331,1e-04,0.9857444763183594,0.10280809848084495
1,0.99969906,0.019905277706698025,1e-04,0.9767687320709229,0.0986614919955023
2,0.99958044,0.01889255051716379,1e-04,0.9963040947914124,0.038430539204679044
3,0.99958,0.01778371191771019,1e-04,0.9936642050743103,0.049955732624785074
4,0.99949336,0.017382083314000863,1e-04,0.9963040947914124,0.03963034588218113
5,0.9994696,0.016429903437079715,1e-04,0.9915522933006287,0.04934915873480699
6,0.99979407,0.014683104726137307,1e-04,0.9968320727348328,0.035552628928404044
7,0.9996359,0.014193470723469322,1e-04,0.9809926152229309,0.07309084924561421
8,0.9995565,0.014053817708166215,1e-04,0.997360110282898,0.031518153240461665
9,0.999604,0.013277542339624599,1e-04,0.9963040947914124,0.04260501053101661
