id,colour
red(315).jpg,0
blue(882).jpg,1
blue(174).jpg,1
none(44).jpg,3
red(479).jpg,0
blue(354).jpg,1
red(79).jpg,0
none(42).jpg,3
blue(146).jpg,1
blue(68).jpg,1
red(210).jpg,0
blue(852).jpg,1
red(274).jpg,0
blue(12).jpg,1
red(51).jpg,0
red(475).jpg,0
blue(269).jpg,1
blue(465).jpg,1
yellow(66).jpg,2
blue(536).jpg,1
blue(484).jpg,1
blue(70).jpg,1
none(108).jpg,3
yellow(190).jpg,2
blue(221).jpg,1
blue(406).jpg,1
blue(507).jpg,1
blue(19).jpg,1
yellow(121).jpg,2
blue(289).jpg,1
blue(508).jpg,1
red(230).jpg,0
yellow(181).jpg,2
blue(332).jpg,1
blue(423).jpg,1
none(70).jpg,3
red(29).jpg,0
blue(182).jpg,1
blue(867).jpg,1
red(160).jpg,0
none(22).jpg,3
red(207).jpg,0
blue(716).jpg,1
yellow(57).jpg,2
blue(714).jpg,1
blue(820).jpg,1
blue(381).jpg,1
blue(547).jpg,1
blue(270).jpg,1
blue(173).jpg,1
yellow(88).jpg,2
blue(196).jpg,1
none(46).jpg,3
blue(134).jpg,1
blue(319).jpg,1
blue(211).jpg,1
blue(83).jpg,1
blue(643).jpg,1
blue(203).jpg,1
blue(721).jpg,1
red(298).jpg,0
blue(207).jpg,1
blue(282).jpg,1
red(342).jpg,0
blue(690).jpg,1
red(323).jpg,0
red(472).jpg,0
yellow(147).jpg,2
red(265).jpg,0
blue(136).jpg,1
red(392).jpg,0
blue(827).jpg,1
none(5).jpg,3
red(443).jpg,0
red(514).jpg,0
blue(552).jpg,1
blue(229).jpg,1
red(423).jpg,0
red(444).jpg,0
blue(584).jpg,1
red(428).jpg,0
none(109).jpg,3
red(125).jpg,0
yellow(229).jpg,2
blue(67).jpg,1
red(553).jpg,0
red(3).jpg,0
red(336).jpg,0
red(276).jpg,0
blue(73).jpg,1
none(80).jpg,3
red(354).jpg,0
blue(347).jpg,1
blue(825).jpg,1
blue(61).jpg,1
yellow(115).jpg,2
red(195).jpg,0
blue(391).jpg,1
blue(99).jpg,1
yellow(109).jpg,2
blue(141).jpg,1
red(63).jpg,0
none(141).jpg,3
blue(187).jpg,1
blue(33).jpg,1
yellow(56).jpg,2
blue(694).jpg,1
blue(181).jpg,1
blue(281).jpg,1
blue(44).jpg,1
yellow(6).jpg,2
yellow(24).jpg,2
blue(447).jpg,1
yellow(195).jpg,2
yellow(137).jpg,2
blue(763).jpg,1
blue(823).jpg,1
blue(237).jpg,1
blue(76).jpg,1
blue(405).jpg,1
blue(588).jpg,1
blue(98).jpg,1
red(187).jpg,0
blue(599).jpg,1
blue(171).jpg,1
none(52).jpg,3
red(404).jpg,0
none(15).jpg,3
blue(806).jpg,1
red(442).jpg,0
blue(210).jpg,1
blue(715).jpg,1
blue(219).jpg,1
blue(830).jpg,1
red(397).jpg,0
red(480).jpg,0
none(73).jpg,3
blue(80).jpg,1
red(159).jpg,0
blue(488).jpg,1
red(438).jpg,0
red(109).jpg,0
red(34).jpg,0
red(301).jpg,0
red(257).jpg,0
