id,colour
blue(5092).jpg,1
blue(3856).jpg,1
blue(7830).jpg,1
blue(5931).jpg,1
red(4813).jpg,0
yellow(2).jpg,2
red(3437).jpg,0
blue(6440).jpg,1
red(4057).jpg,0
yellow(3940).jpg,2
none(48).jpg,3
red(5812).jpg,0
blue(719).jpg,1
red(449).jpg,0
blue(6456).jpg,1
blue(5876).jpg,1
yellow(1517).jpg,2
blue(6059).jpg,1
blue(536).jpg,1
red(7137).jpg,0
blue(1735).jpg,1
blue(7514).jpg,1
blue(6884).jpg,1
yellow(492).jpg,2
red(224).jpg,0
red(1013).jpg,0
blue(3958).jpg,1
red(1702).jpg,0
yellow(862).jpg,2
blue(2501).jpg,1
yellow(4884).jpg,2
blue(7342).jpg,1
red(4170).jpg,0
red(1014).jpg,0
red(4371).jpg,0
red(3492).jpg,0
blue(1647).jpg,1
blue(8212).jpg,1
blue(742).jpg,1
red(1304).jpg,0
red(3624).jpg,0
yellow(3083).jpg,2
red(6312).jpg,0
red(5641).jpg,0
red(3350).jpg,0
yellow(125).jpg,2
yellow(3834).jpg,2
blue(7791).jpg,1
yellow(5443).jpg,2
blue(44).jpg,1
yellow(4318).jpg,2
yellow(898).jpg,2
yellow(3644).jpg,2
red(3794).jpg,0
yellow(3164).jpg,2
blue(4197).jpg,1
blue(6315).jpg,1
blue(2431).jpg,1
blue(7309).jpg,1
red(6998).jpg,0
red(2473).jpg,0
red(4222).jpg,0
blue(1180).jpg,1
yellow(444).jpg,2
yellow(1609).jpg,2
red(7156).jpg,0
blue(1926).jpg,1
yellow(309).jpg,2
blue(6887).jpg,1
red(1951).jpg,0
blue(2131).jpg,1
blue(5064).jpg,1
yellow(730).jpg,2
blue(6470).jpg,1
red(4120).jpg,0
blue(999).jpg,1
red(1571).jpg,0
blue(6927).jpg,1
blue(6402).jpg,1
blue(5764).jpg,1
red(6902).jpg,0
blue(2263).jpg,1
red(1282).jpg,0
red(4545).jpg,0
blue(4789).jpg,1
yellow(2754).jpg,2
yellow(4936).jpg,2
blue(2395).jpg,1
red(4712).jpg,0
red(38).jpg,0
yellow(5609).jpg,2
blue(8217).jpg,1
red(2733).jpg,0
red(1850).jpg,0
blue(7785).jpg,1
yellow(4097).jpg,2
blue(8111).jpg,1
red(3047).jpg,0
red(7381).jpg,0
blue(7474).jpg,1
red(5295).jpg,0
blue(2537).jpg,1
blue(426).jpg,1
red(4492).jpg,0
blue(5208).jpg,1
blue(2050).jpg,1
blue(7646).jpg,1
yellow(5453).jpg,2
red(6652).jpg,0
red(6453).jpg,0
blue(8234).jpg,1
yellow(1179).jpg,2
red(6195).jpg,0
yellow(2377).jpg,2
red(7768).jpg,0
blue(3585).jpg,1
blue(4062).jpg,1
blue(1937).jpg,1
blue(1683).jpg,1
yellow(5502).jpg,2
yellow(3668).jpg,2
red(574).jpg,0
none(6).jpg,3
blue(2723).jpg,1
blue(5520).jpg,1
blue(6231).jpg,1
blue(3874).jpg,1
yellow(4202).jpg,2
blue(7462).jpg,1
blue(8097).jpg,1
yellow(5140).jpg,2
red(2585).jpg,0
blue(4396).jpg,1
yellow(1896).jpg,2
red(2378).jpg,0
blue(4853).jpg,1
blue(2370).jpg,1
yellow(2657).jpg,2
yellow(5307).jpg,2
red(3460).jpg,0
blue(4792).jpg,1
red(2492).jpg,0
red(7434).jpg,0
blue(920).jpg,1
red(2192).jpg,0
yellow(711).jpg,2
blue(531).jpg,1
blue(1171).jpg,1
red(4317).jpg,0
blue(158).jpg,1
yellow(3356).jpg,2
red(900).jpg,0
yellow(4535).jpg,2
yellow(5545).jpg,2
yellow(2883).jpg,2
blue(577).jpg,1
yellow(5314).jpg,2
yellow(827).jpg,2
red(4064).jpg,0
red(5521).jpg,0
red(1172).jpg,0
yellow(2138).jpg,2
red(4652).jpg,0
blue(6970).jpg,1
red(1332).jpg,0
none(54).jpg,3
blue(3507).jpg,1
blue(206).jpg,1
blue(6568).jpg,1
yellow(185).jpg,2
blue(3524).jpg,1
yellow(2540).jpg,2
yellow(2990).jpg,2
red(4903).jpg,0
blue(1891).jpg,1
blue(2870).jpg,1
blue(7641).jpg,1
yellow(602).jpg,2
blue(6872).jpg,1
yellow(1429).jpg,2
red(5565).jpg,0
blue(5240).jpg,1
red(1116).jpg,0
blue(7856).jpg,1
red(4577).jpg,0
red(7104).jpg,0
blue(3928).jpg,1
blue(6659).jpg,1
yellow(4991).jpg,2
yellow(4893).jpg,2
yellow(144).jpg,2
blue(6473).jpg,1
yellow(1462).jpg,2
yellow(5797).jpg,2
blue(6678).jpg,1
blue(482).jpg,1
yellow(2082).jpg,2
blue(4402).jpg,1
yellow(2323).jpg,2
red(193).jpg,0
yellow(2236).jpg,2
red(39).jpg,0
yellow(4124).jpg,2
yellow(3433).jpg,2
yellow(2577).jpg,2
blue(7617).jpg,1
blue(1885).jpg,1
blue(3492).jpg,1
red(806).jpg,0
red(154).jpg,0
yellow(5499).jpg,2
blue(1435).jpg,1
red(5563).jpg,0
blue(4353).jpg,1
red(6892).jpg,0
yellow(985).jpg,2
blue(6649).jpg,1
blue(1737).jpg,1
red(1708).jpg,0
blue(1945).jpg,1
blue(8123).jpg,1
red(1385).jpg,0
blue(6567).jpg,1
red(2152).jpg,0
blue(6572).jpg,1
yellow(4956).jpg,2
yellow(2321).jpg,2
blue(17).jpg,1
blue(3807).jpg,1
red(1997).jpg,0
blue(6219).jpg,1
red(1725).jpg,0
yellow(2715).jpg,2
yellow(4399).jpg,2
blue(3365).jpg,1
yellow(4943).jpg,2
blue(4157).jpg,1
red(4029).jpg,0
blue(4723).jpg,1
blue(830).jpg,1
blue(5143).jpg,1
yellow(1559).jpg,2
red(7261).jpg,0
blue(1227).jpg,1
yellow(4959).jpg,2
red(1943).jpg,0
blue(3922).jpg,1
yellow(4041).jpg,2
yellow(3236).jpg,2
blue(2984).jpg,1
yellow(4367).jpg,2
red(6014).jpg,0
none(29).jpg,3
red(2888).jpg,0
yellow(5783).jpg,2
none(25).jpg,3
blue(1868).jpg,1
red(228).jpg,0
blue(2113).jpg,1
yellow(525).jpg,2
blue(670).jpg,1
red(2265).jpg,0
blue(3158).jpg,1
blue(7901).jpg,1
yellow(360).jpg,2
red(3027).jpg,0
blue(3747).jpg,1
yellow(4420).jpg,2
